name,tags,rmp_info,take_again
"Rasmusen, Eric","['Clear grading criteria (2)', 'Participation matters (2)', 'Gives good feedback (1)', 'Amazing lectures (1)', 'Tough grader (1)', 'Test heavy (1)', 'Respected (1)', 'Lots of homework (1)', 'Lecture heavy (1)', 'Caring (1)']",3.3,NA
,[],NA,NA
"Walton, Andrea",[],3.0,NA
"Schlegel, Kip","['Graded by few things (3)', 'Lecture heavy (3)', 'Test heavy (1)', 'Hilarious (1)', 'Group projects (1)', 'Inspirational (1)']",3.5,NA
"Gault, Brent",[],4.9,NA
"Judge, Christopher","['Clear grading criteria (3)', 'Tough grader (3)', 'Lots of homework (2)', 'Participation matters (2)', 'Gives good feedback (2)', 'Caring (1)', 'Accessible outside class (1)', 'Beware of pop quizzes (1)']",2.7,NA
"Vargo, Sue","['Gives good feedback (2)', 'Respected (1)', 'Group projects (1)', 'Caring (1)', 'Amazing lectures (1)']",4.3,NA
,[],NA,NA
"Ansart, Guillaume","['Lecture heavy (1)', 'Get ready to read (1)', 'Graded by few things (1)', 'Lots of homework (1)']",3.6,NA
"Nosofsky, Robert","['Amazing lectures (4)', 'Clear grading criteria (3)', 'Lecture heavy (2)', 'Test heavy (2)', 'Respected (2)', 'Get ready to read (1)', 'Graded by few things (1)', 'Hilarious (1)', 'Participation matters (1)']",4.0,83%
"McGerr, Rosemarie","['Get ready to read (7)', 'Lecture heavy (7)', 'Lots of homework (4)', 'Tough grader (4)', 'Amazing lectures (3)', 'Participation matters (1)', 'Test heavy (1)']",3.3,33%
"Halloran, Vivian","['Lots of homework (3)', 'Get ready to read (3)', 'EXTRA CREDIT (2)', 'Tough grader (2)', 'Caring (2)', 'Inspirational (1)', 'Gives good feedback (1)', 'Accessible outside class (1)', 'So many papers (1)']",2.8,NA
"Haywood, Rod","['Respected (13)', 'Gives good feedback (12)', 'Inspirational (11)', 'Group projects (9)', 'Caring (7)', 'Hilarious (4)', 'Participation matters (2)', 'Amazing lectures (2)', 'Clear grading criteria (1)']",4.5,100%
"Reidhaar, James",[],2.3,NA
"Siegel, Martin","['Inspirational (5)', 'Gives good feedback (4)', 'Group projects (4)', 'Caring (4)', 'Participation matters (2)', 'Respected (2)', 'Amazing lectures (1)', 'EXTRA CREDIT (1)', 'Lots of homework (1)', 'Lecture heavy (1)']",4.3,89%
,[],NA,NA
"Boch, Robert",[],4.8,NA
"Burke, Richard",[],4.1,NA
"Larsen, Michael","['Caring (2)', 'Gives good feedback (2)', 'Respected (2)', 'Inspirational (1)']",4.5,NA
"Widlanski, Ted","['Tough grader (6)', 'Respected (5)', 'Caring (2)', 'Accessible outside class (1)', 'Amazing lectures (1)', 'Get ready to read (1)', 'Lecture heavy (1)']",2.1,NA
"Farley, Joseph","['Beware of pop quizzes (9)', 'Tough grader (5)', 'Lecture heavy (3)', 'Test heavy (3)', 'Get ready to read (2)', 'Respected (2)', 'So many papers (1)', 'Gives good feedback (1)']",3.1,43%
,[],NA,NA
"Douglas, Allen",[],3.2,NA
"Rohrschneider, Robert",[],3.7,NA
"Chicken, Jonathan","['Caring (1)', 'Amazing lectures (1)', 'Hilarious (1)']",3.8,NA
"Neher, Darryl","['Respected (3)', 'Inspirational (3)', 'Group projects (2)', 'Hilarious (1)']",4.1,NA
"Kanning, Myron","['Participation matters (12)', 'EXTRA CREDIT (9)', 'Tough grader (9)', 'Lecture heavy (8)', 'Group projects (7)', 'Respected (5)', 'Inspirational (4)', 'Amazing lectures (4)', 'Graded by few things (3)', 'Clear grading criteria (2)', 'Caring (2)', 'So many papers (2)', 'Get ready to read (1)', 'Lots of homework (1)', 'Gives good feedback (1)']",3.7,57%
,[],NA,NA
"Dybvig, R. Kent",[],3.4,NA
"Madison, James",[],4.9,NA
"Edmonds, Allan",[],2.6,NA
"Tansey, Mike","['Respected (5)', 'Lecture heavy (3)', 'Inspirational (3)', 'Caring (2)', 'Clear grading criteria (2)', 'Hilarious (2)', 'Gives good feedback (1)', 'Tough grader (1)', 'Get ready to read (1)', 'Graded by few things (1)']",3.8,NA
"Wager, Laura",[],3.9,NA
"Bartley, Tim",[],3.1,NA
"Boger, Chris",[],4.8,NA
,[],NA,NA
"Kline, Kip",[],NA,NA
"Feaster, Patrick",[],4.4,NA
"Hamburger, Michael","['Lots of homework (1)', 'Test heavy (1)']",4.6,NA
"Knox, Giles","['Amazing lectures (6)', 'Clear grading criteria (4)', 'Respected (3)', 'Hilarious (3)', 'Graded by few things (3)', 'Test heavy (3)', 'Inspirational (2)', 'Gives good feedback (1)', 'Lecture heavy (1)', 'Caring (1)']",4.3,82%
"Walters, Rockney","['Inspirational (2)', 'Amazing lectures (2)', 'Accessible outside class (2)', 'Gives good feedback (1)', 'Group projects (1)', 'Participation matters (1)', 'Respected (1)', 'Hilarious (1)']",4.8,NA
,[],NA,NA
"Mufson, Stuart","['Lecture heavy (4)', 'Beware of pop quizzes (4)', 'EXTRA CREDIT (2)', 'Tough grader (2)', 'Clear grading criteria (2)', 'Lots of homework (1)', 'Amazing lectures (1)', 'Graded by few things (1)']",2.5,NA
"Shapshay, Sandra","['Respected (4)', 'Amazing lectures (2)', 'Lecture heavy (2)', 'Caring (2)', 'EXTRA CREDIT (2)', 'Gives good feedback (1)', 'Get ready to read (1)', 'Accessible outside class (1)', 'Inspirational (1)', 'Clear grading criteria (1)', 'Graded by few things (1)', 'Lots of homework (1)']",4.0,86%
